Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Custom field (Acceptance criteria),Custom field (Commit),Custom field (Development),Custom field (DoD validée),Custom field (DoR validée),Custom field (Issue color),Custom field (Priority),Custom field (Rank),Custom field (Release),Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Créer API GET /api/admin/sales/export,DJ-271,11545,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 3:41 PM,14/Nov/25 3:41 PM,,,,,0,,,,,,"*Objectif :* Créer endpoint API pour téléchargement exports ventes

*Tâches :*

* Créer GET /api/admin/sales/export
* Authentification et autorisation admin requise
* Paramètres query : format (csv/excel), startDate, endDate
* Headers appropriés pour téléchargement fichier (Content-Disposition, Content-Type)
* Gestion async si export long (job + polling ou notification)
* Limite taille export ou pagination
* Documentation OpenAPI/Swagger",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i004bj:,,,,,,11201,DJ-115,Exporter les données de vente,To Do,14/Nov/25 3:41 PM
Implémenter ExportService pour CSV/Excel,DJ-270,11543,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 3:41 PM,14/Nov/25 3:41 PM,,,,,0,,,,,,"*Objectif :* Créer service pour génération exports CSV/Excel des ventes

*Tâches :*

* Créer ExportService avec méthode generateSalesExport()
* Formatage données en CSV avec headers appropriés
* Génération Excel avec bibliothèque (ExcelJS ou similaire)
* Filtrage par période (startDate, endDate)
* Inclusion toutes colonnes pertinentes (date, montant, billet, client, statut)
* Gestion streaming pour gros volumes de données
* Génération nom fichier avec timestamp",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i004bb:,,,,,,11201,DJ-115,Exporter les données de vente,To Do,14/Nov/25 3:41 PM
Écrire tests dashboard statistiques,DJ-269,11541,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 3:41 PM,14/Nov/25 3:41 PM,,,,,0,,,,,,"*Objectif :* Écrire tests complets pour dashboard statistiques

*Tâches :*

* Tests unitaires AnalyticsService (calculs, agrégations)
* Tests API endpoint /api/admin/stats/dashboard
* Tests autorisation admin (403 si non-admin)
* Tests performance avec jeux de données volumineuses
* Tests frontend : affichage KPIs, graphiques, refresh
* Tests E2E : scénario complet consultation dashboard
* Tests accessibilité dashboard (a11y)",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i004b3:,,,,,,11199,DJ-114,Voir le dashboard des ventes,To Do,14/Nov/25 3:41 PM
Développer dashboard admin avec graphiques,DJ-268,11539,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 3:41 PM,14/Nov/25 3:41 PM,,,,,0,,,,,,"*Objectif :* Développer interface dashboard admin avec affichage statistiques et graphiques

*Tâches :*

* Créer composant AdminDashboard
* Afficher KPIs principaux (CA total, billets vendus)
* Intégrer bibliothèque graphiques (Chart.js ou Recharts)
* Graphique évolution ventes par jour/semaine
* Graphique répartition par type d'offre
* Auto-refresh des données (polling ou websocket)
* Design responsive et accessible
* Loading states et error handling",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i004av:,,,,,,11199,DJ-114,Voir le dashboard des ventes,To Do,14/Nov/25 3:41 PM
Créer API GET /api/admin/stats/dashboard,DJ-267,11537,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 3:40 PM,14/Nov/25 3:40 PM,,,,,0,,,,,,"*Objectif :* Créer endpoint API pour récupération statistiques dashboard admin

*Tâches :*

* Créer GET /api/admin/stats/dashboard
* Authentification et autorisation admin requise
* Retourner statistiques temps réel (ventes, billets, CA)
* Paramètres optionnels : period (day/week/month), startDate, endDate
* Format JSON standardisé pour graphiques
* Gestion pagination pour historiques longs
* Documentation OpenAPI/Swagger",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i004an:,,,,,,11199,DJ-114,Voir le dashboard des ventes,To Do,14/Nov/25 3:40 PM
Implémenter AnalyticsService pour statistiques,DJ-266,11535,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 3:40 PM,14/Nov/25 3:40 PM,,,,,0,,,,,,"*Objectif :* Créer service pour calcul et agrégation des statistiques de vente

*Tâches :*

* Créer AnalyticsService avec méthodes de statistiques
* Calculer total des ventes (CA généré)
* Compter nombre de billets vendus
* Agréger données par jour/semaine/mois
* Calculer moyennes et tendances
* Optimiser requêtes pour temps réel
* Mise en cache des statistiques fréquentes",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i004af:,,,,,,11199,DJ-114,Voir le dashboard des ventes,To Do,14/Nov/25 3:40 PM
Écrire tests connexion admin,DJ-265,11533,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 2:19 PM,14/Nov/25 2:19 PM,14/Nov/25 3:34 PM,,,,0,,,,,,"*Objectif :* Tests connexion administrateur

*Tâches :*

* Tests unitaires adminLogin()
* Tests API POST /api/admin/login (authentification valide/invalide)
* Tests intégration page login admin
* Tests E2E flux connexion admin complet
* Tests sécurité (brute force, rate limiting)
* Tests gestion sessions et tokens admin",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i004a7:,,,,,,11197,DJ-113,Me connecter à l'interface admin,To Do,14/Nov/25 2:19 PM
Développer page login admin,DJ-264,11531,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 2:09 PM,14/Nov/25 2:09 PM,,,,,0,,,,,,"*Objectif :* Développer page login admin

*Tâches :*

* Page login dédiée admin (/admin/login)
* Formulaire email/password sécurisé
* MFA code si activé
* Validation côté client
* Appel API login admin
* Redirection dashboard après login
* Messages erreur clairs
* Design professionnel et sobre",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i0049z:,,,,,,11197,DJ-113,Me connecter à l'interface admin,To Do,14/Nov/25 2:09 PM
Créer API POST /api/admin/login,DJ-263,11529,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 2:09 PM,14/Nov/25 2:09 PM,,,,,0,,,,,,"*Objectif :* Exposer endpoint login admin

*Tâches :*

* POST /api/admin/login - connexion admin
* Validation credentials admin
* Retour token JWT avec role
* Headers sécurité renforcés
* Rate limiting strict connexions
* Status 200 OK avec token
* Gestion erreur 401 (credentials invalides)
* Gestion erreur 403 (pas admin)",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i0049r:,,,,,,11197,DJ-113,Me connecter à l'interface admin,To Do,14/Nov/25 2:09 PM
Implémenter adminLogin(),DJ-262,11527,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 2:09 PM,14/Nov/25 2:09 PM,,,,,0,,,,,,"*Objectif :* Implémenter authentification admin

*Tâches :*

* Étendre AuthService avec adminLogin()
* Vérification rôle admin en base
* Génération token JWT avec role admin
* Session sécurisée admin
* MFA optionnel pour admin
* Logs connexions admin
* Expiration session renforcée",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i0049j:,,,,,,11197,DJ-113,Me connecter à l'interface admin,To Do,14/Nov/25 2:09 PM
Écrire tests détection usage multiple,DJ-261,11525,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 2:09 PM,14/Nov/25 2:09 PM,,,,,0,,,,,,"*Objectif :* Valider détection usage multiple

*Tâches :*

* Tests TicketService vérification usage
* Tests API check-used
* Tests mise à jour statut après scan
* Tests détection réutilisation
* Tests affichage alerte
* Tests historique scans
* Tests logs fraude
* Tests E2E scénario tentative réutilisation",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i0049b:,,,,,,11195,DJ-112,Rejeter un billet déjà utilisé,To Do,14/Nov/25 2:09 PM
Développer alerte billet utilisé,DJ-260,11523,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 2:09 PM,14/Nov/25 2:09 PM,,,,,0,,,,,,"*Objectif :* Développer alerte billet déjà utilisé

*Tâches :*

* Notification visuelle immédiate (rouge)
* Notification sonore alerte
* Affichage ""BILLET DÉJÀ UTILISÉ""
* Affichage timestamp première utilisation
* Affichage lieu premier scan si disponible
* Boutons contact sécurité/refuser entrée
* Design très visible et explicite",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i00493:,,,,,,11195,DJ-112,Rejeter un billet déjà utilisé,To Do,14/Nov/25 2:09 PM
Créer API POST /api/scan/check-used,DJ-259,11521,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 2:09 PM,14/Nov/25 2:09 PM,,,,,0,,,,,,"*Objectif :* Exposer endpoint vérification usage ticket

*Tâches :*

* POST /api/scan/check-used - vérifier usage
* Authentification staff requise
* Vérification statut en temps réel
* Retour historique scans si déjà utilisé
* Mise à jour statut après validation
* Status 200 avec statut (ok/already_used)
* Logs détection fraude",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i0048v:,,,,,,11195,DJ-112,Rejeter un billet déjà utilisé,To Do,14/Nov/25 2:09 PM
Implémenter checkTicketUsed(),DJ-258,11519,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 2:09 PM,14/Nov/25 2:09 PM,,,,,0,,,,,,"*Objectif :* Implémenter détection usage multiple

*Tâches :*

* Étendre TicketService avec checkTicketUsed()
* Vérification statut ticket (utilisé/non utilisé)
* Historique scans ticket
* Timestamp première utilisation
* Détection tentatives réutilisation
* Alertes fraude potentielle
* Blocage ticket après premier scan valide",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i0048n:,,,,,,11195,DJ-112,Rejeter un billet déjà utilisé,To Do,14/Nov/25 2:09 PM
Écrire tests vérification identité,DJ-257,11517,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 2:08 PM,14/Nov/25 2:08 PM,,,,,0,,,,,,"*Objectif :* Valider vérification identité

*Tâches :*

* Tests TicketService récupération détails
* Tests API GET details ticket
* Tests affichage infos titulaire
* Tests comparaison identité
* Tests protection données RGPD
* Tests boutons validation/refus
* Tests accessibilité interface
* Tests E2E processus vérification",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i0048f:,,,,,,11193,DJ-111,Valider l'identité,To Do,14/Nov/25 2:08 PM
Développer écran vérification identité,DJ-256,11515,Subtask,To Do,DJ,Dev - JO2024,software,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,Medium,,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,Jocelyn Sainson,61fcefa4f51e85007089ebc9,14/Nov/25 2:08 PM,14/Nov/25 2:08 PM,,,,,0,,,,,,"*Objectif :* Développer écran vérification identité

*Tâches :*

* Affichage nom titulaire après scan
* Affichage photo titulaire si disponible
* Affichage infos événement et place
* Comparaison visuelle identité
* Boutons validation/refus entrée
* Design clair et rapide lecture
* Protection données sensibles",,Jocelyn Sainson,61fcefa4f51e85007089ebc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,0|i00487:,,,,,,11193,DJ-111,Valider l'identité,To Do,14/Nov/25 2:08 PM
